Jenjang;Fakultas;Tipe;Prodi;Jenis_Kelamin;Agama;Tanggal_Lulus;Lama_Studi;Periode_Wisuda;IPK;Jalur_Penerimaan;SPP;Level_UKT;Jenis_UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.31;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.31;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.31;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;06-08-2018;4 Tahun 1 Bulan;20181;3.21;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;06-08-2018;4 Tahun 1 Bulan;20181;3.21;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;06-08-2018;4 Tahun 1 Bulan;20181;3.21;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;23-08-2019;5 Tahun 1 Bulan;20191;3.01;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;23-08-2019;5 Tahun 1 Bulan;20191;3.01;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;23-08-2019;5 Tahun 1 Bulan;20191;3.01;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;KATOLIK;30-05-2018;3 Tahun 10 Bulan;20174;3.23;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;KATOLIK;30-05-2018;3 Tahun 10 Bulan;20174;3.23;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;KATOLIK;30-05-2018;3 Tahun 10 Bulan;20174;3.23;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;09-09-2020;6 Tahun 2 Bulan;20203;2.92;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;09-09-2020;6 Tahun 2 Bulan;20203;2.92;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;09-09-2020;6 Tahun 2 Bulan;20203;2.92;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;04-10-2018;NULL;20182;3.12;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;04-10-2018;NULL;20182;3.12;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;04-10-2018;NULL;20182;3.12;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;21-09-2018;4 Tahun 2 Bulan;20181;3.47;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;21-09-2018;4 Tahun 2 Bulan;20181;3.47;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;21-09-2018;4 Tahun 2 Bulan;20181;3.47;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;16-10-2018;4 Tahun 3 Bulan;20181;3.42;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;16-10-2018;4 Tahun 3 Bulan;20181;3.42;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;16-10-2018;4 Tahun 3 Bulan;20181;3.42;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;19-04-2018;3 Tahun 9 Bulan;20173;3.79;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;19-04-2018;3 Tahun 9 Bulan;20173;3.79;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;19-04-2018;3 Tahun 9 Bulan;20173;3.79;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.04;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.04;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.04;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;05-07-2018;4 Tahun 0 Bulan;20174;3.38;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;05-07-2018;4 Tahun 0 Bulan;20174;3.38;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;05-07-2018;4 Tahun 0 Bulan;20174;3.38;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;08-02-2019;4 Tahun 7 Bulan;20183;3.32;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;08-02-2019;4 Tahun 7 Bulan;20183;3.32;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
