Jenjang;Fakultas;Tipe;Prodi;Jenis_Kelamin;Agama;Tanggal_Lulus;Lama_Studi;Periode_Wisuda;IPK;Jalur_Penerimaan;SPP;Level_UKT;Jenis_UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;05-08-2019;5 Tahun 1 Bulan;20191;2.89;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;2.92;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;2.92;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;2.92;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;25-10-2018;4 Tahun 3 Bulan;20182;3.01;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;25-10-2018;4 Tahun 3 Bulan;20182;3.01;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;25-10-2018;4 Tahun 3 Bulan;20182;3.01;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;25-07-2019;5 Tahun 0 Bulan;20184;3.06;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;25-07-2019;5 Tahun 0 Bulan;20184;3.06;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;25-07-2019;5 Tahun 0 Bulan;20184;3.06;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;26-07-2018;4 Tahun 0 Bulan;20181;3.21;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;26-07-2018;4 Tahun 0 Bulan;20181;3.21;Mandiri;6000000;8;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;26-07-2018;4 Tahun 0 Bulan;20181;3.21;Mandiri;6000000;8;Non UKT
